filename,char,char_index,sample_index
白_000.csv,白,0,0
白_001.csv,白,0,1
白_002.csv,白,0,2
白_003.csv,白,0,3
白_004.csv,白,0,4
白_005.csv,白,0,5
白_006.csv,白,0,6
白_007.csv,白,0,7
白_008.csv,白,0,8
白_009.csv,白,0,9
在_000.csv,在,1,0
在_001.csv,在,1,1
在_002.csv,在,1,2
在_003.csv,在,1,3
在_004.csv,在,1,4
在_005.csv,在,1,5
在_006.csv,在,1,6
在_007.csv,在,1,7
在_008.csv,在,1,8
在_009.csv,在,1,9
的_000.csv,的,2,0
的_001.csv,的,2,1
的_002.csv,的,2,2
的_003.csv,的,2,3
的_004.csv,的,2,4
的_005.csv,的,2,5
的_006.csv,的,2,6
的_007.csv,的,2,7
的_008.csv,的,2,8
的_009.csv,的,2,9
云_000.csv,云,3,0
云_001.csv,云,3,1
云_002.csv,云,3,2
云_003.csv,云,3,3
云_004.csv,云,3,4
云_005.csv,云,3,5
云_006.csv,云,3,6
云_007.csv,云,3,7
云_008.csv,云,3,8
云_009.csv,云,3,9
国_000.csv,国,4,0
国_001.csv,国,4,1
国_002.csv,国,4,2
国_003.csv,国,4,3
国_004.csv,国,4,4
国_005.csv,国,4,5
国_006.csv,国,4,6
国_007.csv,国,4,7
国_008.csv,国,4,8
国_009.csv,国,4,9
要_000.csv,要,5,0
要_001.csv,要,5,1
要_002.csv,要,5,2
要_003.csv,要,5,3
要_004.csv,要,5,4
要_005.csv,要,5,5
要_006.csv,要,5,6
要_007.csv,要,5,7
要_008.csv,要,5,8
要_009.csv,要,5,9
我_000.csv,我,6,0
我_001.csv,我,6,1
我_002.csv,我,6,2
我_003.csv,我,6,3
我_004.csv,我,6,4
我_005.csv,我,6,5
我_006.csv,我,6,6
我_007.csv,我,6,7
我_008.csv,我,6,8
我_009.csv,我,6,9
书_000.csv,书,7,0
书_001.csv,书,7,1
书_002.csv,书,7,2
书_003.csv,书,7,3
书_004.csv,书,7,4
书_005.csv,书,7,5
书_006.csv,书,7,6
书_007.csv,书,7,7
书_008.csv,书,7,8
书_009.csv,书,7,9
说_000.csv,说,8,0
说_001.csv,说,8,1
说_002.csv,说,8,2
说_003.csv,说,8,3
说_004.csv,说,8,4
说_005.csv,说,8,5
说_006.csv,说,8,6
说_007.csv,说,8,7
说_008.csv,说,8,8
说_009.csv,说,8,9
人_000.csv,人,9,0
人_001.csv,人,9,1
人_002.csv,人,9,2
人_003.csv,人,9,3
人_004.csv,人,9,4
人_005.csv,人,9,5
人_006.csv,人,9,6
人_007.csv,人,9,7
人_008.csv,人,9,8
人_009.csv,人,9,9
活_000.csv,活,10,0
活_001.csv,活,10,1
活_002.csv,活,10,2
活_003.csv,活,10,3
活_004.csv,活,10,4
活_005.csv,活,10,5
活_006.csv,活,10,6
活_007.csv,活,10,7
活_008.csv,活,10,8
活_009.csv,活,10,9
文_000.csv,文,11,0
文_001.csv,文,11,1
文_002.csv,文,11,2
文_003.csv,文,11,3
文_004.csv,文,11,4
文_005.csv,文,11,5
文_006.csv,文,11,6
文_007.csv,文,11,7
文_008.csv,文,11,8
文_009.csv,文,11,9
字_000.csv,字,12,0
字_001.csv,字,12,1
字_002.csv,字,12,2
字_003.csv,字,12,3
字_004.csv,字,12,4
字_005.csv,字,12,5
字_006.csv,字,12,6
字_007.csv,字,12,7
字_008.csv,字,12,8
字_009.csv,字,12,9
中_000.csv,中,13,0
中_001.csv,中,13,1
中_002.csv,中,13,2
中_003.csv,中,13,3
中_004.csv,中,13,4
中_005.csv,中,13,5
中_006.csv,中,13,6
中_007.csv,中,13,7
中_008.csv,中,13,8
中_009.csv,中,13,9
火_000.csv,火,14,0
火_001.csv,火,14,1
火_002.csv,火,14,2
火_003.csv,火,14,3
火_004.csv,火,14,4
火_005.csv,火,14,5
火_006.csv,火,14,6
火_007.csv,火,14,7
火_008.csv,火,14,8
火_009.csv,火,14,9
们_000.csv,们,15,0
们_001.csv,们,15,1
们_002.csv,们,15,2
们_003.csv,们,15,3
们_004.csv,们,15,4
们_005.csv,们,15,5
们_006.csv,们,15,6
们_007.csv,们,15,7
们_008.csv,们,15,8
们_009.csv,们,15,9
好_000.csv,好,16,0
好_001.csv,好,16,1
好_002.csv,好,16,2
好_003.csv,好,16,3
好_004.csv,好,16,4
好_005.csv,好,16,5
好_006.csv,好,16,6
好_007.csv,好,16,7
好_008.csv,好,16,8
好_009.csv,好,16,9
水_000.csv,水,17,0
水_001.csv,水,17,1
水_002.csv,水,17,2
水_003.csv,水,17,3
水_004.csv,水,17,4
水_005.csv,水,17,5
水_006.csv,水,17,6
水_007.csv,水,17,7
水_008.csv,水,17,8
水_009.csv,水,17,9
天_000.csv,天,18,0
天_001.csv,天,18,1
天_002.csv,天,18,2
天_003.csv,天,18,3
天_004.csv,天,18,4
天_005.csv,天,18,5
天_006.csv,天,18,6
天_007.csv,天,18,7
天_008.csv,天,18,8
天_009.csv,天,18,9
日_000.csv,日,19,0
日_001.csv,日,19,1
日_002.csv,日,19,2
日_003.csv,日,19,3
日_004.csv,日,19,4
日_005.csv,日,19,5
日_006.csv,日,19,6
日_007.csv,日,19,7
日_008.csv,日,19,8
日_009.csv,日,19,9
学_000.csv,学,20,0
学_001.csv,学,20,1
学_002.csv,学,20,2
学_003.csv,学,20,3
学_004.csv,学,20,4
学_005.csv,学,20,5
学_006.csv,学,20,6
学_007.csv,学,20,7
学_008.csv,学,20,8
学_009.csv,学,20,9
有_000.csv,有,21,0
有_001.csv,有,21,1
